Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
1303,659.8662226,200.25,0,0,0,0,0,0,0,0,0,0,0,0,0
236,485.2417326,62.53,0,0,0,0,0,0,0,0,0,0,0,0,0
5780,736.5904826,161.8,0,0,0,7992.92,7932.03,8949.34,0,0,0,0,0,0,0
9874,741.3923676,227.04,0,0,0,0,0,0,0,0,0,0,0,0,0
7557,550.2690476,185.59,0,0,0,0,0,0,0,0,0,0,2153.32,2379.94,2475.45
86,532.7777826,51.17,0,0,0,0,0,0,0,0,0,0,0,0,0
9809,596.3601526,225.15,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,719.8880626,210.61,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,665.3217876,199.03,0,0,0,0,0,0,0,0,0,0,0,0,0
10815,442.6216726,278.82,0,0,0,0,0,0,0,0,0,0,0,0,0
1853,784.9250876,232.45,0,0,0,0,0,0,0,0,0,0,0,0,0
949,656.7989726,176.54,0,0,0,0,0,0,0,1268.83,972.8,1227.4,0,0,0
895,601.8300676,170.45,0,0,0,0,1932.21,1887.48,0,0,0,0,0,0,0
10327,530.2967776,240.83,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,525.7777926,56.05,0,0,0,0,0,0,0,0,0,0,0,0,0
461,502.2531676,142.82,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,588.3627926,230.28,0,0,0,0,0,0,0,0,0,0,0,0,0
7939,691.3813176,192.19,0,0,0,0,0,0,0,0,0,0,0,0,0
6401,601.8235876,168.79,0,0,0,0,0,0,0,0,0,0,0,0,0
3798,576.3012476,132.66,0,0,0,0,0,0,0,0,0,0,0,0,0
9232,581.7958426,213.27,0,0,0,0,0,0,0,0,0,0,0,0,0
